GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino:,Margin of Error; Total: - Hispanic or Latino:,Estimate; Total: - Hispanic or Latino: - Mexican,Margin of Error; Total: - Hispanic or Latino: - Mexican,Estimate; Total: - Hispanic or Latino: - Puerto Rican,Margin of Error; Total: - Hispanic or Latino: - Puerto Rican,Estimate; Total: - Hispanic or Latino: - Cuban,Margin of Error; Total: - Hispanic or Latino: - Cuban,Estimate; Total: - Hispanic or Latino: - Dominican (Dominican Republic),Margin of Error; Total: - Hispanic or Latino: - Dominican (Dominican Republic),Estimate; Total: - Hispanic or Latino: - Central American:,Margin of Error; Total: - Hispanic or Latino: - Central American:,Estimate; Total: - Hispanic or Latino: - Central American: - Costa Rican,Margin of Error; Total: - Hispanic or Latino: - Central American: - Costa Rican,Estimate; Total: - Hispanic or Latino: - Central American: - Guatemalan,Margin of Error; Total: - Hispanic or Latino: - Central American: - Guatemalan,Estimate; Total: - Hispanic or Latino: - Central American: - Honduran,Margin of Error; Total: - Hispanic or Latino: - Central American: - Honduran,Estimate; Total: - Hispanic or Latino: - Central American: - Nicaraguan,Margin of Error; Total: - Hispanic or Latino: - Central American: - Nicaraguan,Estimate; Total: - Hispanic or Latino: - Central American: - Panamanian,Margin of Error; Total: - Hispanic or Latino: - Central American: - Panamanian,Estimate; Total: - Hispanic or Latino: - Central American: - Salvadoran,Margin of Error; Total: - Hispanic or Latino: - Central American: - Salvadoran,Estimate; Total: - Hispanic or Latino: - Central American: - Other Central American,Margin of Error; Total: - Hispanic or Latino: - Central American: - Other Central American,Estimate; Total: - Hispanic or Latino: - South American:,Margin of Error; Total: - Hispanic or Latino: - South American:,Estimate; Total: - Hispanic or Latino: - South American: - Argentinean,Margin of Error; Total: - Hispanic or Latino: - South American: - Argentinean,Estimate; Total: - Hispanic or Latino: - South American: - Bolivian,Margin of Error; Total: - Hispanic or Latino: - South American: - Bolivian,Estimate; Total: - Hispanic or Latino: - South American: - Chilean,Margin of Error; Total: - Hispanic or Latino: - South American: - Chilean,Estimate; Total: - Hispanic or Latino: - South American: - Colombian,Margin of Error; Total: - Hispanic or Latino: - South American: - Colombian,Estimate; Total: - Hispanic or Latino: - South American: - Ecuadorian,Margin of Error; Total: - Hispanic or Latino: - South American: - Ecuadorian,Estimate; Total: - Hispanic or Latino: - South American: - Paraguayan,Margin of Error; Total: - Hispanic or Latino: - South American: - Paraguayan,Estimate; Total: - Hispanic or Latino: - South American: - Peruvian,Margin of Error; Total: - Hispanic or Latino: - South American: - Peruvian,Estimate; Total: - Hispanic or Latino: - South American: - Uruguayan,Margin of Error; Total: - Hispanic or Latino: - South American: - Uruguayan,Estimate; Total: - Hispanic or Latino: - South American: - Venezuelan,Margin of Error; Total: - Hispanic or Latino: - South American: - Venezuelan,Estimate; Total: - Hispanic or Latino: - South American: - Other South American,Margin of Error; Total: - Hispanic or Latino: - South American: - Other South American,Estimate; Total: - Hispanic or Latino: - Other Hispanic or Latino:,Margin of Error; Total: - Hispanic or Latino: - Other Hispanic or Latino:,Estimate; Total: - Hispanic or Latino: - Other Hispanic or Latino: - Spaniard,Margin of Error; Total: - Hispanic or Latino: - Other Hispanic or Latino: - Spaniard,Estimate; Total: - Hispanic or Latino: - Other Hispanic or Latino: - Spanish,Margin of Error; Total: - Hispanic or Latino: - Other Hispanic or Latino: - Spanish,Estimate; Total: - Hispanic or Latino: - Other Hispanic or Latino: - Spanish American,Margin of Error; Total: - Hispanic or Latino: - Other Hispanic or Latino: - Spanish American,Estimate; Total: - Hispanic or Latino: - Other Hispanic or Latino: - All other Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino: - Other Hispanic or Latino: - All other Hispanic or Latino
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",2001,305,1515,281,486,228,10,16,364,217,0,11,31,53,22,34,0,11,0,11,0,11,0,11,22,34,0,11,0,11,30,38,0,11,0,11,0,11,30,38,0,11,0,11,0,11,0,11,0,11,0,11,29,29,0,11,0,11,0,11,29,29
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",4519,609,3985,628,534,287,0,11,364,228,15,28,33,41,47,47,0,11,42,49,0,11,0,11,5,11,0,11,0,11,59,91,0,11,0,11,0,11,59,91,0,11,0,11,0,11,0,11,0,11,0,11,16,28,0,11,16,28,0,11,0,11
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",5244,724,4896,700,348,187,0,16,273,163,14,46,0,16,43,78,0,16,0,16,0,16,0,16,43,78,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,18,31,18,31,0,16,0,16,0,16
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",2423,191,2316,186,107,105,0,11,31,38,15,22,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,61,93,0,11,0,11,0,11,0,11,61,93,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",4654,481,4263,529,391,204,63,95,162,133,0,11,97,116,21,32,0,11,0,11,0,11,0,11,21,32,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,48,83,0,11,0,11,0,11,48,83
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",5033,500,4483,481,550,114,14,19,210,69,59,40,99,54,45,33,18,17,4,6,0,16,0,16,0,16,23,27,0,16,86,45,0,16,0,16,0,16,46,28,17,20,8,15,15,19,0,16,0,16,0,16,37,36,5,10,14,21,0,16,18,21
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",3758,405,2974,449,784,328,75,109,614,318,0,11,0,11,17,27,0,11,17,27,0,11,0,11,0,11,0,11,0,11,41,50,0,11,0,11,24,39,17,34,0,11,0,11,0,11,0,11,0,11,0,11,37,42,0,11,0,11,24,40,13,22
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",3747,288,3512,300,235,82,0,11,116,53,13,18,23,24,10,17,0,11,0,11,0,11,0,11,0,11,10,17,0,11,20,22,0,11,0,11,1,2,4,8,7,12,0,11,8,16,0,11,0,11,0,11,53,42,13,18,6,11,0,11,34,35
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",3851,541,3056,559,795,388,16,32,332,246,25,43,308,251,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,77,83,0,11,0,11,28,41,49,70,0,11,0,11,0,11,0,11,0,11,0,11,37,56,37,56,0,11,0,11,0,11
